"Levels of Key Employment Indicators: April 2005 to June 2026"
"Year","Month","Total Population 15 Years Old and Over Both sexes","Total Population 15 Years Old and Over Male","Total Population 15 Years Old and Over Female","Persons in the Labor Force Both sexes","Persons in the Labor Force Male","Persons in the Labor Force Female","Employed Persons Both sexes","Employed Persons Male","Employed Persons Female","Unemployed Persons Both sexes","Unemployed Persons Male","Unemployed Persons Female","Underemployed Persons Both sexes","Underemployed Persons Male","Underemployed Persons Female"
"2011","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2011","Annual",61882.532,30804.908,31077.625,40005.496,24345.169,15660.327,37192.043,22573.194,14618.850,2813.453,1771.976,1041.477,7163.222,4912.616,2250.606
"2012","January",62682.489,31182.269,31500.220,40226.295,24537.621,15688.674,37334.180,22697.006,14637.174,2892.115,1840.615,1051.500,7018.201,4791.737,2226.464
"2012","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","April",62841.673,31265.636,31576.037,40644.689,24783.411,15861.278,37842.022,23038.032,14803.990,2802.667,1745.379,1057.288,7313.245,4987.418,2325.827
"2012","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","July",63114.100,31475.725,31638.374,40401.316,24461.679,15939.637,37554.580,22694.795,14859.785,2846.736,1766.884,1079.852,8564.582,5823.976,2740.606
"2012","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","October",63303.135,31552.987,31750.149,40433.370,24681.702,15751.669,37670.023,22965.904,14704.119,2763.347,1715.798,1047.550,7160.342,4900.905,2259.437
"2012","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2012","Annual",62985.349,31369.154,31616.195,40426.418,24616.103,15810.315,37600.201,22848.934,14751.267,2826.216,1767.169,1059.048,7514.093,5126.009,2388.084
"2013","January",63719.743,31743.842,31975.901,40833.696,24667.062,16166.634,37940.024,22826.888,15113.136,2893.672,1840.174,1053.498,7933.736,5397.352,2536.383
"2013","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","April",64089.951,31896.881,32193.071,40906.264,24996.004,15910.260,37819.069,23100.888,14718.182,3087.195,1895.116,1192.079,7251.077,4974.828,2276.249
"2013","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","July",64469.504,32122.198,32347.306,41177.666,25106.780,16070.886,38175.187,23264.786,14910.401,3002.478,1841.993,1160.485,7340.157,5009.783,2330.374
"2013","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","October",64414.045,32132.866,32281.180,41171.771,25100.386,16071.385,38536.576,23407.537,15129.039,2635.195,1692.849,942.347,6960.834,4843.634,2117.199
"2013","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2013","Annual",64173.311,31973.947,32199.365,41022.349,24967.558,16054.791,38117.714,23150.025,14967.690,2904.635,1817.533,1087.102,7371.451,5056.399,2315.051
"2014","January",61776.988,30760.158,31016.830,39387.374,23943.261,15444.112,36418.495,22044.778,14373.717,2968.878,1898.483,1070.395,7103.487,4859.531,2243.956
"2014","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","April",63772.212,31727.188,32045.023,41588.350,25136.938,16451.413,38664.249,23331.419,15332.830,2924.101,1805.519,1118.583,7027.174,4765.389,2261.785
"2014","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","July",64070.435,31925.022,32145.413,41230.829,25001.993,16228.836,38452.625,23242.470,15210.155,2778.204,1759.523,1018.681,7049.253,4823.219,2226.034
"2014","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","October",64256.588,32063.290,32193.298,41318.843,25140.708,16178.134,38836.894,23522.275,15314.619,2481.949,1618.433,863.515,7278.458,5008.167,2270.291
